Detail URL,Title,Salary,Contract Type,Job Type,Location
https://www.reed.co.uk/jobs/data-analyst/52243131?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst ,"£50,000 - £60,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/data-analyst-trainee/52007487?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,West London London
https://www.reed.co.uk/jobs/data-analyst-trainee/51996528?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,Sutton Cheshire
https://www.reed.co.uk/jobs/data-analyst/52098419?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst,"£45,000 - £50,000 per annum",Permanent,full-time,Manchester Lancashire
https://www.reed.co.uk/jobs/data-analyst/52086956?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/junior-data-analyst/50697687?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Junior Data Analyst,"£55,000 - £65,000 per annum, negotiable, pro-rata, inc benefits, OTE",Permanent,full-time,Canary Wharf London
https://www.reed.co.uk/jobs/financial-data-analyst/52154705?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Financial Data Analyst ,"£45,000 - £55,000 per annum",Permanent,full-time,York North Yorkshire
https://www.reed.co.uk/jobs/member-data-analyst/52139903?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D7,Member Data Analyst,"£28,000 - £35,000 per annum",Permanent,full-time,Chesterfield Derbyshire
https://www.reed.co.uk/jobs/freelance-sql-data-analyst/52144858?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D8,Freelance SQL Data Analyst,Salary negotiable,Contract,full-time,London South East England
https://www.reed.co.uk/jobs/lead-data-analyst-head-of-data/52266480?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D9,Lead Data Analyst/Head of Data,"£60,000 - £69,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/data-scientist/52094046?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D10,Data Scientist,"£45,000 - £70,000 per annum",Permanent,full-time,City of London London
https://www.reed.co.uk/jobs/senior-data-test-analyst-outside-ir35/52040002?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D11,Senior Data Test Analyst Outside IR35,£500.00 - £600.00 per day,Contract,full-time,London South East England
https://www.reed.co.uk/jobs/credit-controller/52128302?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D12,Credit Controller,"£24,000 - £26,000 per annum",Permanent,full-time,Leighton Buzzard Bedfordshire
https://www.reed.co.uk/jobs/power-bi-lead-watford-hybrid/52049548?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D13,Power BI Lead - Watford Hybrid,"£40,000 - £46,000 per annum",Permanent,full-time,Watford Hertfordshire
https://www.reed.co.uk/jobs/audit-analyst/51889083?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D14,Audit Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Chester Cheshire
https://www.reed.co.uk/jobs/application-support-analyst-alliant-royalties/52061832?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D15,Application Support Analyst (Alliant Royalties),Competitive salary,Permanent,full-time,City of London London
